gene	Family	Type
SoffiXsponR570.02Eg345800	ABI3VP1	TFF
SoffiXsponR570.02Eg354500	SBP	TFF
SoffiXsponR570.02Eg355500	TIG	TFF
SoffiXsponR570.02Eg359900	SET	OTR
SoffiXsponR570.02Eg360400	ARF	TFF
SoffiXsponR570.02Eg360800	CCAAT	TFF
SoffiXsponR570.02Eg373200	GRAS	TFF
SoffiXsponR570.02Eg373900	TRAF	OTR
SoffiXsponR570.02Eg379700	bHLH	TFF
SoffiXsponR570.02Eg380700	SRS	TFF
SoffiXsponR570.02Eg388300	PHD	OTR
SoffiXsponR570.02Eg393200	MYB-related	TFF
SoffiXsponR570.02Eg393800	Top	TFF
SoffiXsponR570.02Fg001000	WRKY	TFF
SoffiXsponR570.02Fg001900	NAC	TFF
SoffiXsponR570.02Fg002500	G2-like	TFF
SoffiXsponR570.02Fg004400	RWP-RK	TFF
SoffiXsponR570.02Fg004700	ARF	TFF
SoffiXsponR570.02Fg005200	bHLH	TFF
SoffiXsponR570.02Fg008600	AUX/IAA	OTR
SoffiXsponR570.02Fg011900	OFP	TFF
SoffiXsponR570.02Fg017600	PHD	OTR
SoffiXsponR570.02Fg021300	NOZZLE	TFF
SoffiXsponR570.02Fg021900	bZIP	TFF
SoffiXsponR570.02Fg027200	BES1	TFF
SoffiXsponR570.02Fg033200	bHLH	TFF
SoffiXsponR570.02Fg034200	C2H2	TFF
SoffiXsponR570.02Fg036200	MYB-related	TFF
SoffiXsponR570.02Fg036300	C3H	TFF
SoffiXsponR570.02Fg039600	PAS	TFF
SoffiXsponR570.02Fg040700	HMG	OTR
SoffiXsponR570.02Fg047100	AUX/IAA	OTR
SoffiXsponR570.02Fg048100	Top	TFF
SoffiXsponR570.02Fg050800	C3H	TFF
SoffiXsponR570.02Fg053100	bZIP	TFF
SoffiXsponR570.02Fg055900	MYB	TFF
SoffiXsponR570.02Fg056100	MYB	TFF
SoffiXsponR570.02Fg061300	MYB-related	TFF
SoffiXsponR570.02Fg061900	bHLH	TFF
SoffiXsponR570.02Fg062600	zf-fF-X1	TFF
SoffiXsponR570.02Fg062700	Alfin-like	TFF
SoffiXsponR570.02Fg064300	MYB-related	TFF
SoffiXsponR570.02Fg066800	CCAAT	TFF
SoffiXsponR570.02Fg067100	CCAAT	TFF
SoffiXsponR570.02Fg072500	MED26	OTR
SoffiXsponR570.02Fg077300	MYB	TFF
SoffiXsponR570.02Fg077400	MYB-related	TFF
SoffiXsponR570.02Fg078700	ABI3VP1	TFF
SoffiXsponR570.02Fg078700	AP2-EREBP	TFF
SoffiXsponR570.02Fg081600	bZIP	TFF
SoffiXsponR570.02Fg086200	AP2-EREBP	TFF
SoffiXsponR570.02Fg088000	MYB	TFF
SoffiXsponR570.02Fg088500	MYB-related	TFF
SoffiXsponR570.02Fg095900	bHLH	TFF
SoffiXsponR570.02Fg096000	zf-BED	TFF
SoffiXsponR570.02Fg098300	bHLH	TFF
SoffiXsponR570.02Fg101200	NAC	TFF
SoffiXsponR570.02Fg109200	C3H	TFF
SoffiXsponR570.02Fg111000	Top	TFF
SoffiXsponR570.02Fg112500	C3H	TFF
SoffiXsponR570.02Fg112700	C3H	TFF
SoffiXsponR570.02Fg117600	BSD	TFF
SoffiXsponR570.02Fg122200	MYB-related	TFF
SoffiXsponR570.02Fg126200	MYB	TFF
SoffiXsponR570.02Fg126500	bHLH	TFF
SoffiXsponR570.02Fg126800	AUX/IAA	OTR
SoffiXsponR570.02Fg127200	MADS	TFF
SoffiXsponR570.02Fg127800	WRKY	TFF
SoffiXsponR570.02Fg128900	SBP	TFF
SoffiXsponR570.02Fg133100	HB	TFF
SoffiXsponR570.02Fg136900	AP2-EREBP	TFF
SoffiXsponR570.02Fg139500	Top	TFF
SoffiXsponR570.02Fg151500	MYB	TFF
SoffiXsponR570.02Fg155800	PHD	OTR
SoffiXsponR570.02Fg155800	zf-BED	TFF
SoffiXsponR570.02Fg159400	bHLH	TFF
SoffiXsponR570.02Fg161400	C3H	TFF
SoffiXsponR570.02Fg161500	C2H2	TFF
SoffiXsponR570.02Fg162800	MYB-related	TFF
SoffiXsponR570.02Fg166200	CCAAT	TFF
SoffiXsponR570.02Fg168000	MYB-related	TFF
SoffiXsponR570.02Fg178400	Top	TFF
SoffiXsponR570.02Fg178600	Top	TFF
SoffiXsponR570.02Fg180300	GNAT	OTR
SoffiXsponR570.02Fg181900	zf-LSD1	TFF
SoffiXsponR570.02Fg183700	C3H	TFF
SoffiXsponR570.02Fg190000	HSF	TFF
SoffiXsponR570.02Fg201000	C3H	TFF
SoffiXsponR570.02Fg207400	bZIP	TFF
SoffiXsponR570.02Fg211600	HMG	OTR
SoffiXsponR570.02Fg214500	ARF	TFF
SoffiXsponR570.02Fg215000	DDT	OTR
SoffiXsponR570.02Fg216300	C2C2-Dof	TFF
SoffiXsponR570.02Fg217800	AUX/IAA	OTR
SoffiXsponR570.02Fg227500	ABI3VP1	TFF
SoffiXsponR570.02Fg227500	AP2-EREBP	TFF
SoffiXsponR570.02Fg229600	MYB	TFF
SoffiXsponR570.02Fg235200	bHLH	TFF
SoffiXsponR570.02Fg236500	MYB-related	TFF
SoffiXsponR570.02Fg238700	ABI3VP1	TFF
SoffiXsponR570.02Fg239300	WRKY	TFF
SoffiXsponR570.02Fg244600	MADS	TFF
SoffiXsponR570.02Fg248200	OFP	TFF
SoffiXsponR570.02Fg251300	SWI/SNF-BAF60b	OTR
SoffiXsponR570.02Fg253100	HB	TFF
SoffiXsponR570.02Fg254600	OFP	TFF
SoffiXsponR570.02Fg254900	WRKY	TFF
SoffiXsponR570.02Fg256500	VOZ	TFF
SoffiXsponR570.02Fg257900	ARF	TFF
SoffiXsponR570.02Fg261600	TUB	TFF
SoffiXsponR570.02Fg265800	NAC	TFF
SoffiXsponR570.02Fg266100	zf-A20	TFF
SoffiXsponR570.02Fg267400	TRAF	OTR
SoffiXsponR570.02Fg271400	bHLH	TFF
SoffiXsponR570.02Fg274700	Top	TFF
SoffiXsponR570.02Fg288900	bZIP	TFF
SoffiXsponR570.02Fg291500	bZIP	TFF
SoffiXsponR570.02Fg291600	AP2-EREBP	TFF
SoffiXsponR570.02Fg294400	NAC	TFF
SoffiXsponR570.02Fg297400	WRKY	TFF
SoffiXsponR570.02Fg297500	WRKY	TFF
SoffiXsponR570.02Fg306400	CCAAT	TFF
SoffiXsponR570.02Fg309100	CCAAT	TFF
SoffiXsponR570.02Fg309400	C2H2	TFF
SoffiXsponR570.02Fg309600	bZIP	TFF
SoffiXsponR570.02Fg312200	OFP	TFF
SoffiXsponR570.02Fg314400	bZIP	TFF
SoffiXsponR570.02Fg316300	C2H2	TFF
SoffiXsponR570.02Fg318600	MYB	TFF
SoffiXsponR570.02Fg323600	GRAS	TFF
SoffiXsponR570.02Fg325300	NAC	TFF
SoffiXsponR570.02Fg326300	AP2-EREBP	TFF
SoffiXsponR570.02Fg327500	NAC	TFF
SoffiXsponR570.02Fg330900	TAZ	TFF
SoffiXsponR570.02Fg330900	TRAF	OTR
SoffiXsponR570.02Fg336400	bHLH	TFF
SoffiXsponR570.02Fg338100	GRAS	TFF
SoffiXsponR570.02Fg340000	Jumonji	OTR
SoffiXsponR570.02Fg340500	TAZ	TFF
SoffiXsponR570.02Fg344000	ABI3VP1	TFF
SoffiXsponR570.02Fg346400	bHLH	TFF
SoffiXsponR570.02Fg347600	C3H	TFF
SoffiXsponR570.02Fg355900	NAC	TFF
SoffiXsponR570.02Fg357800	SET	OTR
SoffiXsponR570.02Fg358200	ARF	TFF
SoffiXsponR570.02Fg363600	C2H2	TFF
SoffiXsponR570.02Fg364000	CCAAT	TFF
SoffiXsponR570.02Gg003100	bHLH	TFF
SoffiXsponR570.02Gg003200	zf-BED	TFF
SoffiXsponR570.02Gg005400	bHLH	TFF
SoffiXsponR570.02Gg005600	bHLH	TFF
SoffiXsponR570.02Gg008700	NAC	TFF
SoffiXsponR570.02Gg013900	NAC	TFF
SoffiXsponR570.02Gg018100	Top	TFF
SoffiXsponR570.02Gg019900	C3H	TFF
SoffiXsponR570.02Gg020100	C3H	TFF
SoffiXsponR570.02Gg021800	NAC	TFF
SoffiXsponR570.02Gg023200	C2C2-Dof	TFF
SoffiXsponR570.02Gg029900	MYB	TFF
SoffiXsponR570.02Gg033300	SBP	TFF
SoffiXsponR570.02Gg035300	MYB	TFF
SoffiXsponR570.02Gg037100	HB	TFF
SoffiXsponR570.02Gg041100	AP2-EREBP	TFF
SoffiXsponR570.02Gg044100	Top	TFF
SoffiXsponR570.02Gg049800	C2C2-GATA	TFF
SoffiXsponR570.02Gg052400	SAP	TFF
SoffiXsponR570.02Gg069100	MYB	TFF
SoffiXsponR570.02Gg084900	WRKY	TFF
SoffiXsponR570.02Gg085600	PLATZ	TFF
SoffiXsponR570.02Gg098800	GNAT	OTR
SoffiXsponR570.02Gg102400	MADS	TFF
SoffiXsponR570.02Gg102700	C3H	TFF
SoffiXsponR570.02Gg105400	MYB-related	TFF
SoffiXsponR570.02Gg109100	OFP	TFF
SoffiXsponR570.02Gg124300	MYB-related	TFF
SoffiXsponR570.02Gg126100	HMG	OTR
SoffiXsponR570.02Gg128700	ARF	TFF
SoffiXsponR570.02Gg129200	DDT	OTR
SoffiXsponR570.02Gg131700	AUX/IAA	OTR
SoffiXsponR570.02Gg137700	Top	TFF
SoffiXsponR570.02Gg143800	AP2-EREBP	TFF
SoffiXsponR570.02Gg145500	MYB	TFF
SoffiXsponR570.02Gg150700	bHLH	TFF
SoffiXsponR570.02Gg150800	Coactivator_p15	OTR
SoffiXsponR570.02Gg153900	ABI3VP1	TFF
SoffiXsponR570.02Gg154400	WRKY	TFF
SoffiXsponR570.02Gg163600	WRKY	TFF
SoffiXsponR570.02Gg164600	OFP	TFF
SoffiXsponR570.02Gg165600	HSF	TFF
SoffiXsponR570.02Gg170200	AUX/IAA	OTR
SoffiXsponR570.02Gg172200	SWI/SNF-BAF60b	OTR
SoffiXsponR570.02Gg174100	HB	TFF
SoffiXsponR570.02Gg175700	HSF	TFF
SoffiXsponR570.02Gg176300	WRKY	TFF
SoffiXsponR570.02Gg178100	VOZ	TFF
SoffiXsponR570.02Gg179900	bZIP	TFF
SoffiXsponR570.02Gg182200	TUB	TFF
SoffiXsponR570.02Gg184500	TCP	TFF
SoffiXsponR570.02Gg187200	BSD	TFF
SoffiXsponR570.02Gg188000	TRAF	OTR
SoffiXsponR570.02Gg192500	bHLH	TFF
SoffiXsponR570.02Gg196100	Top	TFF
SoffiXsponR570.02Gg204000	AP2-EREBP	TFF
SoffiXsponR570.02Gg204100	AP2-EREBP	TFF
SoffiXsponR570.02Gg206700	bZIP	TFF
SoffiXsponR570.02Gg212300	MYB	TFF
SoffiXsponR570.02Gg213500	bZIP	TFF
SoffiXsponR570.02Gg213600	AP2-EREBP	TFF
SoffiXsponR570.02Gg215800	NAC	TFF
SoffiXsponR570.02Gg218500	WRKY	TFF
SoffiXsponR570.02Gg218600	WRKY	TFF
SoffiXsponR570.02Gg218700	WRKY	TFF
SoffiXsponR570.02Gg222200	WRKY	TFF
SoffiXsponR570.02Gg230600	C2H2	TFF
SoffiXsponR570.02Gg230800	C2H2	TFF
SoffiXsponR570.02Gg233400	WRKY	TFF
SoffiXsponR570.02Gg236500	HB	TFF
SoffiXsponR570.02Gg240100	MYB	TFF
SoffiXsponR570.02Gg243800	C2H2	TFF
SoffiXsponR570.02Gg245800	MYB-related	TFF
SoffiXsponR570.02Gg248600	bZIP	TFF
SoffiXsponR570.02Gg250700	C2H2	TFF
SoffiXsponR570.02Gg253000	MYB	TFF
SoffiXsponR570.02Gg255300	PHD	OTR
SoffiXsponR570.02Gg256400	SET	OTR
SoffiXsponR570.02Gg257700	GRAS	TFF
SoffiXsponR570.02Gg259400	NAC	TFF
SoffiXsponR570.02Gg259600	SWI/SNF-BAF60b	OTR
SoffiXsponR570.02Gg264300	TAZ	TFF
SoffiXsponR570.02Gg264300	TRAF	OTR
SoffiXsponR570.02Gg270400	bHLH	TFF
SoffiXsponR570.02Gg271700	GRAS	TFF
SoffiXsponR570.02Gg272400	ABI3VP1	TFF
SoffiXsponR570.02Gg273500	Jumonji	OTR
SoffiXsponR570.02Gg274100	TAZ	TFF
SoffiXsponR570.02Gg274100	TRAF	OTR
SoffiXsponR570.02Gg279000	bHLH	TFF
SoffiXsponR570.02Gg280100	C3H	TFF
SoffiXsponR570.02Gg285900	SBP	TFF
SoffiXsponR570.02Gg286500	TIG	TFF
SoffiXsponR570.02Gg287700	Top	TFF
SoffiXsponR570.02Gg287800	TCP	TFF
SoffiXsponR570.02Gg289300	MYB	TFF
SoffiXsponR570.02Gg291300	ARF	TFF
SoffiXsponR570.02Gg291600	bHLH	TFF
SoffiXsponR570.02Gg296400	CCAAT	TFF
SoffiXsponR570.02Gg303800	TRAF	OTR
SoffiXsponR570.02Gg308900	bHLH	TFF
SoffiXsponR570.02Gg314900	Top	TFF
SoffiXsponR570.02Gg321000	MYB-related	TFF
SoffiXsponR570.03Ag001100	bZIP	TFF
SoffiXsponR570.03Ag003400	MADS	TFF
SoffiXsponR570.03Ag006200	Jumonji	OTR
SoffiXsponR570.03Ag010500	MYB	TFF
SoffiXsponR570.03Ag011500	bHLH	TFF
SoffiXsponR570.03Ag018800	bHLH	TFF
SoffiXsponR570.03Ag019400	CSD	TFF
SoffiXsponR570.03Ag028300	BES1	TFF
SoffiXsponR570.03Ag032200	PHD	OTR
SoffiXsponR570.03Ag034500	RWP-RK	TFF
SoffiXsponR570.03Ag035400	TAZ	TFF
SoffiXsponR570.03Ag036600	MYB-related	TFF
SoffiXsponR570.03Ag037000	SBP	TFF
SoffiXsponR570.03Ag037900	ARF	TFF
SoffiXsponR570.03Ag039400	PAS	TFF
SoffiXsponR570.03Ag044500	AP2-EREBP	TFF
SoffiXsponR570.03Ag045000	PBF-2-like	TFF
SoffiXsponR570.03Ag049300	ARF	TFF
SoffiXsponR570.03Ag054500	bZIP	TFF
SoffiXsponR570.03Ag055600	SBP	TFF
SoffiXsponR570.03Ag056500	PLATZ	TFF
SoffiXsponR570.03Ag060700	SBP	TFF
SoffiXsponR570.03Ag063800	WRKY	TFF
SoffiXsponR570.03Ag064600	ARR-B	TFF
SoffiXsponR570.03Ag065100	HB	TFF
SoffiXsponR570.03Ag069700	MYB	TFF
SoffiXsponR570.03Ag073600	bZIP	TFF
SoffiXsponR570.03Ag074500	PHD	OTR
SoffiXsponR570.03Ag077700	zf-A20	TFF
SoffiXsponR570.03Ag083400	AP2-EREBP	TFF
SoffiXsponR570.03Ag084200	bZIP	TFF
SoffiXsponR570.03Ag084300	bZIP	TFF
SoffiXsponR570.03Ag087500	Top	TFF
SoffiXsponR570.03Ag093900	C2C2-GATA	TFF
SoffiXsponR570.03Ag097400	AP2-EREBP	TFF
SoffiXsponR570.03Ag098200	HSF	TFF
SoffiXsponR570.03Ag100700	MYB-related	TFF
SoffiXsponR570.03Ag105300	NAC	TFF
SoffiXsponR570.03Ag106500	C3H	TFF
SoffiXsponR570.03Ag114800	MYB	TFF
SoffiXsponR570.03Ag119300	Tudor-knot	OTR
SoffiXsponR570.03Ag119600	GeBP	TFF
SoffiXsponR570.03Ag121400	bHLH	TFF
SoffiXsponR570.03Ag127400	WRKY	TFF
SoffiXsponR570.03Ag128400	bHLH	TFF
SoffiXsponR570.03Ag128700	zf-BED	TFF
SoffiXsponR570.03Ag129900	ARID	OTR
SoffiXsponR570.03Ag142500	WRKY	TFF
SoffiXsponR570.03Ag148300	HSF	TFF
SoffiXsponR570.03Ag156900	AP2-EREBP	TFF
SoffiXsponR570.03Ag159100	MYB-related	TFF
SoffiXsponR570.03Ag160900	Coactivator_p15	OTR
SoffiXsponR570.03Ag161200	SET	OTR
SoffiXsponR570.03Ag161800	NAC	TFF
SoffiXsponR570.03Ag162800	DDT	OTR
SoffiXsponR570.03Ag163800	C3H	TFF
SoffiXsponR570.03Ag164000	ARF	TFF
SoffiXsponR570.03Ag164800	AP2-EREBP	TFF
SoffiXsponR570.03Ag166800	Alfin-like	TFF
SoffiXsponR570.03Ag172500	EIL	TFF
SoffiXsponR570.03Ag175300	MYB	TFF
SoffiXsponR570.03Ag189500	mTERF	OTR
SoffiXsponR570.03Ag195500	FAR1	TFF
SoffiXsponR570.03Ag197600	C2C2-CO-like	TFF
SoffiXsponR570.03Ag200900	AP2-EREBP	TFF
SoffiXsponR570.03Ag204500	Pseudo_ARR-B	OTR
SoffiXsponR570.03Ag204800	MYB	TFF
SoffiXsponR570.03Ag205900	SET	OTR
SoffiXsponR570.03Ag209600	ARF	TFF
SoffiXsponR570.03Ag216600	AP2-EREBP	TFF
SoffiXsponR570.03Ag219700	LIM	TFF
SoffiXsponR570.03Ag219900	MYB	TFF
SoffiXsponR570.03Ag220800	C2C2-YABBY	TFF
SoffiXsponR570.03Ag221200	C2H2	TFF
SoffiXsponR570.03Ag224800	bHLH	TFF
SoffiXsponR570.03Ag225000	MYB-related	TFF
SoffiXsponR570.03Ag225700	GRF	TFF
SoffiXsponR570.03Ag226900	MYB-related	TFF
SoffiXsponR570.03Ag227000	zf-C5HC2	TFF
SoffiXsponR570.03Ag228700	GNAT	OTR
SoffiXsponR570.03Ag229600	PLATZ	TFF
SoffiXsponR570.03Ag229800	bHLH	TFF
SoffiXsponR570.03Ag234800	MADS	TFF
SoffiXsponR570.03Ag235700	MYB-related	TFF
SoffiXsponR570.03Ag236100	OFP	TFF
SoffiXsponR570.03Ag237300	AP2-EREBP	TFF
SoffiXsponR570.03Ag239500	C2H2	TFF
SoffiXsponR570.03Ag244500	GRAS	TFF
SoffiXsponR570.03Ag244600	GRAS	TFF
SoffiXsponR570.03Ag248300	AP2-EREBP	TFF
SoffiXsponR570.03Ag248400	AP2-EREBP	TFF
SoffiXsponR570.03Ag250000	AP2-EREBP	TFF
SoffiXsponR570.03Ag250300	AP2-EREBP	TFF
SoffiXsponR570.03Ag252000	WRKY	TFF
SoffiXsponR570.03Ag255100	TUB	TFF
SoffiXsponR570.03Ag255300	bHLH	TFF
SoffiXsponR570.03Ag255800	zf-HD	TFF
SoffiXsponR570.03Ag256300	C2C2-Dof	TFF
SoffiXsponR570.03Ag257000	SET	OTR
SoffiXsponR570.03Ag261000	ARID	OTR
SoffiXsponR570.03Ag268000	SET	OTR
SoffiXsponR570.03Ag269500	C2C2-Dof	TFF
SoffiXsponR570.03Ag270000	bHLH	TFF
SoffiXsponR570.03Ag273600	C2C2-CO-like	TFF
SoffiXsponR570.03Ag274200	MYB	TFF
SoffiXsponR570.03Ag275000	SET	OTR
SoffiXsponR570.03Ag279900	E2F-DP	TFF
SoffiXsponR570.03Ag285300	NAC	TFF
SoffiXsponR570.03Ag286400	AP2-EREBP	TFF
SoffiXsponR570.03Ag286500	bHLH	TFF
SoffiXsponR570.03Ag288300	mTERF	OTR
SoffiXsponR570.03Ag288700	mTERF	OTR
SoffiXsponR570.03Ag291000	AP2-EREBP	TFF
SoffiXsponR570.03Ag292300	MYB	TFF
SoffiXsponR570.03Ag300100	bZIP	TFF
SoffiXsponR570.03Ag301100	AP2-EREBP	TFF
SoffiXsponR570.03Ag301800	GeBP	TFF
SoffiXsponR570.03Ag302600	WRKY	TFF
SoffiXsponR570.03Ag303000	Top	TFF
SoffiXsponR570.03Ag304300	GNAT	OTR
SoffiXsponR570.03Ag307000	CCAAT	TFF
SoffiXsponR570.03Ag309900	AP2-EREBP	TFF
SoffiXsponR570.03Ag311400	AP2-EREBP	TFF
SoffiXsponR570.03Ag312900	MYB	TFF
SoffiXsponR570.03Ag319400	bHLH	TFF
SoffiXsponR570.03Ag320100	ARR-B	TFF
SoffiXsponR570.03Ag320100	MYB-related	TFF
SoffiXsponR570.03Ag320500	AP2-EREBP	TFF
SoffiXsponR570.03Ag322000	DBP	TFF
SoffiXsponR570.03Ag325400	AUX/IAA	OTR
SoffiXsponR570.03Ag325600	bHLH	TFF
SoffiXsponR570.03Ag326600	C2C2-GATA	TFF
SoffiXsponR570.03Ag328300	zf-C5HC2	TFF
SoffiXsponR570.03Ag335000	AUX/IAA	OTR
SoffiXsponR570.03Ag340900	C2H2	TFF
SoffiXsponR570.03Ag342100	NAC	TFF
SoffiXsponR570.03Ag348800	C3H	TFF
SoffiXsponR570.03Bg003700	MADS	TFF
SoffiXsponR570.03Bg013000	bHLH	TFF
SoffiXsponR570.03Bg019400	bHLH	TFF
SoffiXsponR570.03Bg020000	CSD	TFF
SoffiXsponR570.03Bg022600	PHD	OTR
SoffiXsponR570.03Bg029600	bZIP	TFF
SoffiXsponR570.03Bg030500	BES1	TFF
SoffiXsponR570.03Bg031000	SWI/SNF-BAF60b	OTR
SoffiXsponR570.03Bg034700	PHD	OTR
SoffiXsponR570.03Bg037100	RWP-RK	TFF
SoffiXsponR570.03Bg037900	TAZ	TFF
SoffiXsponR570.03Bg038000	TAZ	TFF
SoffiXsponR570.03Bg039700	MYB-related	TFF
SoffiXsponR570.03Bg040100	SBP	TFF
SoffiXsponR570.03Bg040700	ARF	TFF
SoffiXsponR570.03Bg045800	AP2-EREBP	TFF
SoffiXsponR570.03Bg046300	PBF-2-like	TFF
SoffiXsponR570.03Bg051400	ARF	TFF
SoffiXsponR570.03Bg056900	PLATZ	TFF
SoffiXsponR570.03Bg058800	bZIP	TFF
SoffiXsponR570.03Bg060600	SBP	TFF
SoffiXsponR570.03Bg061700	C2C2-CO-like	TFF
SoffiXsponR570.03Bg063900	WRKY	TFF
SoffiXsponR570.03Bg064600	ARR-B	TFF
SoffiXsponR570.03Bg065100	HB	TFF
SoffiXsponR570.03Bg066000	PLATZ	TFF
SoffiXsponR570.03Bg068700	MYB	TFF
SoffiXsponR570.03Bg079500	AP2-EREBP	TFF
SoffiXsponR570.03Bg080300	HSF	TFF
SoffiXsponR570.03Bg085200	bZIP	TFF
SoffiXsponR570.03Bg090200	bHLH	TFF
SoffiXsponR570.03Bg090500	HMG	OTR
SoffiXsponR570.03Bg096800	MYB	TFF
SoffiXsponR570.03Bg097600	CPP	TFF
SoffiXsponR570.03Bg101500	GeBP	TFF
SoffiXsponR570.03Bg110100	WRKY	TFF
SoffiXsponR570.03Bg111100	bHLH	TFF
SoffiXsponR570.03Bg112900	ARID	OTR
SoffiXsponR570.03Bg112900	HMG	OTR
SoffiXsponR570.03Bg117200	HSF	TFF
SoffiXsponR570.03Bg125900	AP2-EREBP	TFF
SoffiXsponR570.03Bg129900	HSF	TFF
SoffiXsponR570.03Bg134600	MADS	TFF
SoffiXsponR570.03Bg139300	MYB-related	TFF
SoffiXsponR570.03Bg141200	SET	OTR
SoffiXsponR570.03Bg142900	DDT	OTR
SoffiXsponR570.03Bg143700	C3H	TFF
SoffiXsponR570.03Bg143900	ARF	TFF
SoffiXsponR570.03Bg144700	AP2-EREBP	TFF
SoffiXsponR570.03Bg146800	Alfin-like	TFF
SoffiXsponR570.03Bg147800	bHLH	TFF
SoffiXsponR570.03Bg151900	C2H2	TFF
SoffiXsponR570.03Bg157600	MYB	TFF
SoffiXsponR570.03Bg167800	TRAF	OTR
SoffiXsponR570.03Bg168900	ABI3VP1	TFF
SoffiXsponR570.03Bg170800	mTERF	OTR
SoffiXsponR570.03Bg173800	FAR1	TFF
SoffiXsponR570.03Bg175900	C2C2-CO-like	TFF
SoffiXsponR570.03Bg176800	SET	OTR
SoffiXsponR570.03Bg182100	SET	OTR
SoffiXsponR570.03Bg183600	NAC	TFF
SoffiXsponR570.03Bg188900	AP2-EREBP	TFF
SoffiXsponR570.03Bg191100	LIM	TFF
SoffiXsponR570.03Bg191200	MYB	TFF
SoffiXsponR570.03Bg192200	C2C2-YABBY	TFF
SoffiXsponR570.03Bg195900	WRKY	TFF
SoffiXsponR570.03Bg197400	AP2-EREBP	TFF
SoffiXsponR570.03Bg199400	AP2-EREBP	TFF
SoffiXsponR570.03Bg199600	AP2-EREBP	TFF
SoffiXsponR570.03Bg208900	C2H2	TFF
SoffiXsponR570.03Bg211000	AP2-EREBP	TFF
SoffiXsponR570.03Bg211900	OFP	TFF
SoffiXsponR570.03Bg212300	MYB-related	TFF
SoffiXsponR570.03Bg214700	MYB-related	TFF
SoffiXsponR570.03Bg218000	PLATZ	TFF
SoffiXsponR570.03Bg220400	MYB-related	TFF
SoffiXsponR570.03Bg223100	bHLH	TFF
SoffiXsponR570.03Bg223300	MYB-related	TFF
SoffiXsponR570.03Bg226300	TUB	TFF
SoffiXsponR570.03Bg226500	bHLH	TFF
SoffiXsponR570.03Bg238100	C2C2-CO-like	TFF
SoffiXsponR570.03Bg238700	SET	OTR
SoffiXsponR570.03Bg240100	C2C2-Dof	TFF
SoffiXsponR570.03Bg240600	bHLH	TFF
SoffiXsponR570.03Bg241300	bZIP	TFF
SoffiXsponR570.03Bg244100	NAC	TFF
SoffiXsponR570.03Bg244500	C2C2-CO-like	TFF
SoffiXsponR570.03Bg245400	MYB	TFF
SoffiXsponR570.03Bg246400	SET	OTR
SoffiXsponR570.03Bg250800	E2F-DP	TFF
SoffiXsponR570.03Bg255800	NAC	TFF
SoffiXsponR570.03Bg258500	mTERF	OTR
SoffiXsponR570.03Bg261000	AP2-EREBP	TFF
SoffiXsponR570.03Bg262300	MYB	TFF
SoffiXsponR570.03Bg262800	SWI/SNF-SWI3	OTR
SoffiXsponR570.03Bg266900	MADS	TFF
SoffiXsponR570.03Bg268900	AP2-EREBP	TFF
SoffiXsponR570.03Bg269600	bZIP	TFF
SoffiXsponR570.03Bg270600	AP2-EREBP	TFF
SoffiXsponR570.03Bg272000	WRKY	TFF
SoffiXsponR570.03Bg272400	Top	TFF
SoffiXsponR570.03Bg276100	MYB-related	TFF
SoffiXsponR570.03Bg276500	GRF	TFF
SoffiXsponR570.03Bg278900	AP2-EREBP	TFF
SoffiXsponR570.03Bg280600	AP2-EREBP	TFF
SoffiXsponR570.03Bg289400	ARR-B	TFF
SoffiXsponR570.03Bg289800	AP2-EREBP	TFF
SoffiXsponR570.03Bg295800	C2C2-GATA	TFF
SoffiXsponR570.03Bg307900	C2H2	TFF
SoffiXsponR570.03Bg309100	NAC	TFF
SoffiXsponR570.03Bg310300	C2H2	TFF
SoffiXsponR570.03Bg313600	TCP	TFF
SoffiXsponR570.03Bg316100	C3H	TFF
SoffiXsponR570.03Bg317800	bZIP	TFF
SoffiXsponR570.03Cg001000	bZIP	TFF
SoffiXsponR570.03Cg003900	MADS	TFF
SoffiXsponR570.03Cg004100	MADS	TFF
SoffiXsponR570.03Cg007900	zf-BED	TFF
SoffiXsponR570.03Cg012800	bHLH	TFF
SoffiXsponR570.03Cg019500	bHLH	TFF
SoffiXsponR570.03Cg020000	CSD	TFF
SoffiXsponR570.03Cg029000	bZIP	TFF
SoffiXsponR570.03Cg030000	BES1	TFF
SoffiXsponR570.03Cg030500	SWI/SNF-BAF60b	OTR
SoffiXsponR570.03Cg036200	RWP-RK	TFF
SoffiXsponR570.03Cg037000	TAZ	TFF
SoffiXsponR570.03Cg038300	MYB-related	TFF
SoffiXsponR570.03Cg038800	SBP	TFF
SoffiXsponR570.03Cg039700	ARF	TFF
SoffiXsponR570.03Cg044800	PAS	TFF
SoffiXsponR570.03Cg050300	AP2-EREBP	TFF
SoffiXsponR570.03Cg051000	PBF-2-like	TFF
SoffiXsponR570.03Cg055200	ARF	TFF
SoffiXsponR570.03Cg061600	PLATZ	TFF
SoffiXsponR570.03Cg062800	MYB-related	TFF
SoffiXsponR570.03Cg064100	bZIP	TFF
SoffiXsponR570.03Cg067000	HB	TFF
SoffiXsponR570.03Cg071300	MYB	TFF
SoffiXsponR570.03Cg072800	zf-A20	TFF
SoffiXsponR570.03Cg080400	Top	TFF
SoffiXsponR570.03Cg089500	bHLH	TFF
SoffiXsponR570.03Cg094500	AP2-EREBP	TFF
